complete,condition,condition_label,expected_n,iqr_final_total,mean_abs_returned_noise,mean_abs_sent_noise,mean_avg_returned,mean_avg_returned_decision,mean_avg_sent,mean_avg_sent_decision,mean_decision_return_ratio,mean_final_total,mean_return_ratio,mean_sent_actual_decision_ratio,median_final_total,model,n,std_final_total,task_order,task_order_label
True,noisy_negative_5,Negative k=5,15,12.200000000000003,0.8228666666666666,1.9233333333333333,0.93,1.7528666666666666,1.722,3.6453333333333333,0.1570926210520517,84.44,0.16531636750576564,0.46168333023723623,86.17999999999999,GPT-5-Nano,15,10.72227321313642,game_myth,Game -> myth
True,noisy_negative_5,Negative k=5,15,17.239999999999995,0.7881333333333334,1.8722,0.6684666666666667,1.4566,1.5070666666666666,3.3792666666666666,0.1413106847688639,80.14133333333332,0.1452069404274126,0.4312787083566883,80.78,GPT-5-Nano,15,11.92557507847655,myth_game,Myth -> game
True,noisy_negative_5_informed,Negative k=5 informed,15,12.870000000000019,0.9880666666666666,1.7914,1.2632,2.2513,1.336,3.1274,0.22769498401528118,76.72000000000001,0.28826622804804913,0.4279453151222925,78.98,GPT-5-Nano,15,10.434163666943865,game,Game only
True,noisy_negative_5_informed,Negative k=5 informed,15,17.889999999999986,0.7766,2.0567333333333333,0.6596,1.4362,1.6732666666666667,3.73,0.1260626864227952,83.46533333333332,0.12210298798356267,0.4395934211065243,84.76,GPT-5-Nano,15,12.399724574514126,game_myth,Game -> myth
True,noisy_negative_5_informed,Negative k=5 informed,15,13.659999999999982,0.5567333333333333,1.9785333333333335,0.6112666666666667,1.1679733333333333,1.6063333333333334,3.5848666666666666,0.11914562110250455,82.12666666666668,0.14356017719330996,0.4473800027631774,82.62,GPT-5-Nano,15,10.327468689074271,myth_game,Myth -> game
True,noisy_bootstrap_cooperation,Bootstrap,15,15.0,5.216666666666667,0.0,12.48,7.263333333333334,4.16,4.16,0.5703970074936807,133.2,1.0,1.0,138.0,GPT-5-Nano,15,15.20901988013316,game,Game only
True,noisy_bootstrap_cooperation,Bootstrap,15,32.0,3.2,0.0,10.16,6.96,3.3866666666666667,3.3866666666666667,0.6833576499615428,117.73333333333333,1.0,1.0,120.0,GPT-5-Nano,15,21.972276904794196,game_myth,Game -> myth
True,noisy_bootstrap_cooperation,Bootstrap,15,24.0,3.07,0.0,10.2,7.13,3.4,3.4,0.6835085222695543,118.0,1.0,1.0,122.0,GPT-5-Nano,15,18.345883150489882,myth_game,Myth -> game
True,noisy_bootstrap_cooperation_informed,Bootstrap informed,15,11.0,5.503333333333333,0.0,12.88,7.376666666666667,4.293333333333333,4.293333333333333,0.5766246539998595,135.86666666666667,1.0,1.0,138.0,GPT-5-Nano,15,6.94742158406028,game,Game only
True,noisy_bootstrap_cooperation_informed,Bootstrap informed,15,33.0,3.9033333333333333,0.0,9.98,6.076666666666666,3.3266666666666667,3.3266666666666667,0.5929848318678744,116.53333333333333,1.0,1.0,118.0,GPT-5-Nano,15,19.025797023540232,game_myth,Game -> myth
True,noisy_bootstrap_cooperation_informed,Bootstrap informed,15,16.0,3.8746666666666667,0.0,10.82,6.945333333333333,3.6066666666666665,3.6066666666666665,0.640213000586119,122.13333333333334,1.0,1.0,126.0,GPT-5-Nano,15,15.165122893697644,myth_game,Myth -> game
