model,noise_label,informed,task_order,n_runs,lag1_AB_mean,lag1_AB_ci_lo,lag1_AB_ci_hi,lag1_AB_n,lag1_BA_mean,lag1_BA_ci_lo,lag1_BA_ci_hi,lag1_BA_n,same_round_AB_mean,same_round_AB_ci_lo,same_round_AB_ci_hi,same_round_AB_n,lag1_max_mean,lag1_max_ci_lo,lag1_max_ci_hi,lag1_max_n,share_lag_gt_0_5
gpt-5-nano,bootstrap,False,game_myth,18,0.10513387833635428,-0.008660274954645887,0.2265791763844643,18,0.27695982409287134,0.10203287820975704,0.44295872163008404,18,0.1756481935012505,0.015833059087775585,0.320022782355776,18,0.3843630063554091,0.2643137509050445,0.5062804019253425,18,0.2777777777777778
gpt-5-nano,bootstrap,False,myth_game,18,0.13269881140061335,-0.005150037492210182,0.2644756290061912,18,0.18845751457679746,0.030368053416790067,0.3422491140805217,18,0.08242095541012384,-0.08532706350139893,0.2548334561074566,18,0.2667156721200653,0.11806044564010218,0.4131022820456708,18,0.2777777777777778
gpt-5-nano,bootstrap,True,game_myth,18,0.11289942517093093,-0.09033933462958708,0.3144722084124759,18,0.30371939440306595,0.1570610401161703,0.4496556125439499,18,0.20615594626825384,0.04730556983224285,0.3496792556300274,18,0.4503758035016701,0.33118434912888356,0.569198696631787,18,0.5
gpt-5-nano,bootstrap,True,myth_game,18,0.22732785749508208,0.053337613062090734,0.39377353590302333,18,0.30119486329896844,0.15748088148214687,0.44800417502058987,18,0.2081606530061629,0.03364291203113392,0.38433249091389143,18,0.4369685857842771,0.3167869152048889,0.5367319749425111,18,0.5
gpt-5-nano,deterministic_max,False,game_myth,7,0.02804338728764846,-0.2945562975644815,0.36600123274735397,7,0.28411012244029205,0.05182246441785261,0.49955712767522664,7,0.16294494880343374,-0.11210219403592922,0.41989520537948927,7,0.4500965524852544,0.3446795363839471,0.5683722182331984,7,0.2857142857142857
gpt-5-nano,gpt5nano_forced_reasoning,False,game_myth,27,0.20001740861683948,0.05863591763703472,0.3474224488989001,27,0.30519198739595366,0.14935202963173466,0.4401236312049027,27,0.23791596134708484,0.09743050427340921,0.36303975930238025,27,0.4744170928960635,0.37255248893948645,0.5747829402737622,27,0.5185185185185185
gpt-5-nano,gpt5nano_forced_reasoning,False,myth_game,28,0.13766164671912146,-0.0019067992105923435,0.2790897676518089,28,0.20166070360918129,0.09365924619565402,0.30770822791547214,28,0.09558601875375465,-0.0476124335347206,0.22899772347478534,28,0.3045047842365534,0.1839835800912602,0.41397664732668726,28,0.2857142857142857
gpt-5-nano,gpt5nano_forced_reasoning,True,game_myth,9,0.36335599131991125,0.059476340682491316,0.6538163141370064,9,0.19422356101215424,-0.03268888642347322,0.4193863457453127,9,-0.007420436286923706,-0.3281083408886111,0.2986420620405781,9,0.46783794052759514,0.19899577019046497,0.7047374653709845,9,0.4444444444444444
gpt-5-nano,gpt5nano_forced_reasoning,True,myth_game,10,0.4189836912024701,0.23635072569317667,0.6046359557300358,10,0.4311123060865052,0.20262231108087678,0.6341249747041684,10,0.4059138371783978,0.24009693637823581,0.5666859360870858,10,0.6177705973341563,0.4857083178222614,0.7387393917109708,10,0.7
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,False,game_myth,15,0.0802845238030681,-0.12545572590209927,0.2842178737253226,15,0.29002803616003764,0.11615937316392144,0.4635207812544543,15,0.04738753827526213,-0.0961529222625868,0.1947440910596742,15,0.4107799651135485,0.2996470461204023,0.5303654820621262,15,0.4666666666666667
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,False,myth_game,15,0.16761740178834797,0.02834507592408102,0.31888207338134367,15,0.2682415916056072,0.08011286336202077,0.46539488656318484,15,0.07516154214197994,-0.08966576509950024,0.2226607798129943,15,0.4097241901858058,0.244564229530391,0.5692703027969892,15,0.5333333333333333
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,True,game_myth,15,0.18415718592591587,0.021149498109171105,0.3453497956088857,15,0.2183020401856474,0.01975070449551816,0.4005486391378595,15,0.1613038687775086,-0.024229240051838838,0.343389856449394,15,0.39058178451909514,0.24741896699174698,0.5269533178443744,15,0.4666666666666667
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,True,myth_game,15,0.375134413707019,0.1946343862959086,0.5252577642479518,15,0.1317065092546906,-0.08012919670948712,0.32129166530819236,15,0.16855253628165814,0.05084540054690681,0.29632418295481844,15,0.5134150244924294,0.4016446755068344,0.6108750081103692,15,0.6666666666666666
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,False,game_myth,15,0.20957663992826803,-0.014145161946870235,0.4206221312770419,15,0.23615414139186816,0.038558045807529424,0.433066997320883,15,0.03016940001178651,-0.17057937599354317,0.2407353922573566,15,0.47124971434398605,0.3438623734572791,0.6040383323077644,15,0.5333333333333333
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,False,myth_game,14,0.22059560940984246,0.017840800681900255,0.42566263333883053,14,-0.027560423612205433,-0.18076807906772172,0.12730800146213633,14,0.07820679981124348,-0.12491279733601608,0.29776868521924915,14,0.3150253476227534,0.14376192758429202,0.4699351421898448,14,0.42857142857142855
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,True,game_myth,15,0.26760582781752457,0.1341323796264972,0.4039655988569952,15,0.24104132364064415,0.028644341132785047,0.4319405567692151,15,0.24750596783133602,0.10490419528732836,0.40318006299314857,15,0.4336613477645151,0.33013625383392264,0.5417456383645366,15,0.4
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,True,myth_game,15,0.16402316742877981,0.0015716238345003673,0.3212447653825992,15,0.24830617263251736,0.08144388285626912,0.4294444583392137,15,0.20181134836967632,0.004928016412464547,0.40110206864421977,15,0.41658847978432406,0.30480684672640007,0.5330253518605023,15,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_adversarial_no_noise,False,game_myth,15,0.35761536392172144,0.13170458311996275,0.5600120441368696,15,0.1450770076983715,-0.05109918129145281,0.3379496665109974,15,0.17688861822488136,0.027341638833406304,0.3077006242584869,15,0.519830463387398,0.3713070789434659,0.6618579469926845,15,0.5333333333333333
gpt-5-nano,gpt5nano_partner_myth_adversarial_no_noise,False,myth_game,15,0.1321698231333732,-0.007514653077063873,0.2740015611797325,15,0.1271029573382193,-0.0648201661704664,0.32149408986302824,15,0.10538726279166215,-0.07548966814427766,0.2729237580581504,15,0.30455019331393934,0.15942131790491773,0.4434094012730206,15,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,False,game_myth,15,0.2767258600981825,0.0925518585093118,0.442758740357914,15,0.24171161989424395,0.09537848469704295,0.38992586359304887,15,0.06824499622991027,-0.07859165743952312,0.21019115543726766,15,0.4225909422998637,0.2808331728104535,0.5503698179598302,15,0.5333333333333333
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,False,myth_game,15,0.2912395498071101,0.1397333552358076,0.43762323150833643,15,-0.0013769954660901214,-0.21472896951027265,0.2046842035802692,15,-0.0023772785940828784,-0.19042446700991864,0.1922380128732424,15,0.34137298110898845,0.19970337939096997,0.4830509547129398,15,0.26666666666666666
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,True,game_myth,15,0.17178469722954598,-0.05661112575591058,0.3764187411398959,15,0.4353682589995615,0.25353015754142433,0.5936167241897069,15,0.15465958642319494,-0.07899690216719321,0.37445673198630197,15,0.4701999812173568,0.2873581028876574,0.6220074217076282,15,0.6666666666666666
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,True,myth_game,15,0.17490476559987495,-0.0021591030801619547,0.332067729980321,15,0.1384977109285395,-0.03773930144217275,0.31286137624759475,15,0.04520611976526369,-0.059202100566839486,0.15192771050632534,15,0.36744115295763835,0.2341593470065767,0.4837748890786237,15,0.4
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,False,game_myth,15,0.19305389921386978,0.07964157626102684,0.3071229095991564,15,0.23429543827120783,0.07458679615621382,0.38819580936000553,15,0.2022875729222672,0.030076741871986928,0.3542144903278945,15,0.34068072298314406,0.22022407298334445,0.45185120662512457,15,0.26666666666666666
