model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_8,207,124,0.5990338164251208,6.615787610582206,12.117647058823529,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_3,205,118,0.5756097560975609,6.48375880765593,9.714285714285714,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_7,220,152,0.6909090909090909,7.015710949837308,12.166666666666666,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_5,203,132,0.6502463054187192,6.655540086001612,12.625,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_6,210,130,0.6190476190476191,6.629651235399015,13.933333333333334,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_8,207,131,0.6328502415458938,6.6338766919753756,17.166666666666668,12
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_7,214,146,0.6822429906542056,6.833733228121853,10.65,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_3,212,135,0.6367924528301887,6.8026740679794155,13.1875,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_5,213,135,0.6338028169014085,6.735207962997782,15.142857142857142,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,220,140,0.6363636363636364,6.751994144458859,14.6,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_6,206,131,0.6359223300970874,6.701514500688433,12.058823529411764,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_4,206,120,0.5825242718446602,6.543886813684373,12.058823529411764,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_1,202,120,0.594059405940594,6.527420288157003,11.823529411764707,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_6,213,129,0.6056338028169014,6.631980559620406,10.095238095238095,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_3,204,141,0.6911764705882353,6.824388237435148,11.941176470588236,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_7,214,142,0.6635514018691588,6.8295113065129405,10.65,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_4,210,124,0.5904761904761905,6.631145068815594,13.933333333333334,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_5,210,134,0.638095238095238,6.757598195301039,10.45,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_8,204,137,0.6715686274509803,6.8056513038562105,11.941176470588236,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_1,212,127,0.5990566037735849,6.64359143413248,11.722222222222221,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_2,211,124,0.5876777251184834,6.626436924363822,9.545454545454545,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_7,204,130,0.6372549019607843,6.707641759539149,11.277777777777779,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_3,215,138,0.641860465116279,6.765475582077148,11.263157894736842,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_5,198,133,0.6717171717171717,6.780935221496866,13.133333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_2,215,138,0.641860465116279,6.859203621928478,10.7,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_1,203,117,0.5763546798029556,6.476833399421177,10.1,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_6,217,151,0.695852534562212,6.980220011146632,13.5,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_8,213,134,0.6291079812206573,6.683004134458986,11.157894736842104,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_4,213,130,0.6103286384976526,6.675644362556181,9.636363636363637,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_4,214,136,0.6355140186915887,6.7586692492777685,9.681818181818182,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_5,207,134,0.6473429951690821,6.763258738808357,13.733333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_3,207,142,0.6859903381642513,6.861387045309689,12.117647058823529,17
