condition,condition_label,myth_topic,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_098_neutral_anything.json,10,0.42000000000000004,0.16613247725836147,0.17533333333333334,0.2889077130619164,2.1,1.142,0.2889077130619164,46.0,55.12,36.879999999999995
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_014_neutral_anything.json,10,0.48,0.09797958971132711,0.3957777777777778,0.4784271555941161,2.4,2.52,0.4784271555941161,49.0,28.9,69.1
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_090_neutral_anything.json,10,0.47000000000000003,0.17916472867168917,0.21711111111111112,0.39148567922343863,2.35,1.5190000000000001,0.39148567922343863,48.5,41.309999999999995,55.690000000000005
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_092_neutral_anything.json,10,0.31,0.19209372712298547,0.14277777777777775,0.2161682300980042,1.55,1.08,0.2161682300980042,40.5,40.7,40.3
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_095_neutral_anything.json,10,0.32,0.22715633383201095,0.17222222222222222,0.2657971936423486,1.6,1.25,0.2657971936423486,41.0,39.5,42.5
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_013_neutral_anything.json,10,0.31000000000000005,0.2118962010041709,0.07777777777777778,0.1632993161855452,1.55,0.55,0.1632993161855452,40.5,49.0,32.0
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_097_neutral_anything.json,10,0.39,0.20346989949375804,0.17325396825396827,0.22249361262598089,1.95,1.21,0.22249361262598089,44.5,41.4,47.6
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_091_neutral_anything.json,10,0.26,0.23748684174075835,0.06666666666666667,0.19999999999999998,1.3,0.2,0.19999999999999998,38.0,34.0,42.0
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_099_neutral_anything.json,10,0.16999999999999998,0.22825424421026655,0.03977777777777778,0.08011380793734763,0.85,0.22600000000000003,0.08011380793734763,33.5,29.439999999999998,37.56
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_093_neutral_anything.json,10,0.24,0.24979991993593592,0.07055555555555557,0.13521930061666218,1.2,0.5349999999999999,0.13521930061666218,37.0,40.35,33.65
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_010_neutral_anything.json,10,0.31500000000000006,0.17327723451163454,0.0962962962962963,0.1933035311214798,1.575,0.75,0.1933035311214798,40.75,34.75,46.75
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_107_neutral_anything.json,10,0.34500000000000003,0.2196019125599775,0.15379797979797982,0.28332713653894365,1.725,1.2559999999999998,0.28332713653894365,42.25,36.31,48.19
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_012_neutral_anything.json,10,0.23200000000000004,0.23498085028359225,0.10111111111111111,0.24976285048317634,1.16,0.6599999999999999,0.24976285048317634,36.6,38.400000000000006,34.8
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_101_neutral_anything.json,10,0.324,0.2457315608545227,0.19944444444444445,0.3820546305709966,1.6199999999999999,1.49,0.3820546305709966,41.2,43.5,38.900000000000006
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_014_neutral_anything.json,10,0.16999999999999998,0.23685438564654024,0.05,0.15000000000000002,0.85,0.15,0.15000000000000002,33.5,36.0,31.0
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_103_neutral_anything.json,10,0.19,0.2467792535850613,0.005555555555555555,0.016666666666666666,0.95,0.05,0.016666666666666666,34.5,35.0,34.0
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_008_neutral_anything.json,10,0.2,0.2,0.01111111111111111,0.03333333333333333,1.0,0.1,0.03333333333333333,35.0,32.0,38.0
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_011_neutral_anything.json,10,0.295,0.23500000000000001,0.21493650793650793,0.3945896794356866,1.475,1.283,0.3945896794356866,39.75,36.08,43.42
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_104_neutral_anything.json,10,0.24000000000000005,0.233238075793812,0.0,0.0,1.2,0.0,0.0,37.0,33.0,41.0
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_007_neutral_anything.json,10,0.12,0.20396078054371142,0.0,0.0,0.6,0.0,0.0,31.0,27.0,35.0
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_013_neutral_anything.json,10,0.31,0.2547547840571399,0.03888888888888889,0.11666666666666667,1.55,0.35,0.11666666666666667,40.5,39.0,42.0
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_108_neutral_anything.json,10,0.18,0.24413111231467402,0.016666666666666666,0.049999999999999996,0.9,0.15,0.049999999999999996,34.0,26.5,41.5
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_100_neutral_anything.json,10,0.31500000000000006,0.2966900739829359,0.12503205128205125,0.23612005460301982,1.575,1.145,0.23612005460301982,40.75,47.5,34.0
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_009_neutral_anything.json,10,0.15499999999999997,0.1955121479601715,0.03111111111111111,0.06531972647421808,0.775,0.16,0.06531972647421808,32.75,29.65,35.85
myth_game,Myth → Game,noisy_negative_5,noise_negative_mem3_102_neutral_anything.json,10,0.31,0.23,0.22444444444444445,0.45343136195018535,1.55,1.8699999999999999,0.45343136195018535,40.5,27.2,53.8
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_010_neutral_anything.json,10,0.51,0.15132745950421556,0.49777777777777776,0.6225554663176409,2.55,3.6,0.6225554663176409,50.5,53.5,47.5
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_113_neutral_anything.json,10,0.32,0.24,0.05,0.15000000000000002,1.6,0.45,0.15000000000000002,41.0,37.5,44.5
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_119_neutral_anything.json,10,0.29000000000000004,0.22999999999999998,0.03333333333333333,0.09999999999999999,1.45,0.2,0.09999999999999999,39.5,38.5,40.5
