regime,run,round,agent,n_tokens,policing,reputation,institution,conditional_threat,myth_reference,surveillance,justice_moral,stranger
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_3,465,1,10,8,0,7,0,8,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_4,387,0,4,4,0,8,0,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_6,354,0,1,14,0,6,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_2,235,0,2,2,0,7,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_7,419,0,8,2,0,6,0,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_1,441,0,4,16,0,8,1,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_8,437,0,6,11,0,6,1,9,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_3,425,1,6,7,0,6,0,3,2
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_4,453,0,10,2,0,7,0,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_5,565,1,11,1,0,10,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_8,492,0,0,0,0,16,0,9,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_1,472,0,0,1,0,9,4,12,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_4,221,0,0,0,0,9,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_2,415,0,0,1,0,10,2,7,0
