meme_family,group,runs_with_both_cells,adoption_exposed_mean,adoption_exposed_sd,adoption_unexposed_mean,adoption_unexposed_sd,exposure_diff_mean,exposure_diff_sd,future_control_diff_mean,future_control_diff_sd,sham_control_diff_mean,sham_control_diff_sd,self_retention_diff_mean,self_retention_diff_sd
noise_adaptation,8-agent,18,0.027334100806739488,0.042919471947490864,0.015047638089351627,0.015898252301711404,0.01228646271738786,0.04847576482159272,0.01886258421467747,0.06722091970165377,0.0040538793351608355,0.039808538558518146,0.01866112144398167,0.043508608980521495
noise_adaptation,2-agent,9,0.04210758377425044,0.06366062831128645,0.08193137524305273,0.08652301276230116,-0.0398237914688023,0.08225185119237231,-0.05275394544791097,0.09976127272033516,nan,nan,0.0919652097858163,0.26453065309652646
noise_adaptation,pooled,27,0.03225859512924314,0.050017811365293006,0.03734221714058533,0.05916966638399525,-0.005083622011342192,0.06515192420569657,-0.007179790208081962,0.08577921827911106,0.0040538793351608355,0.039808538558518146,0.04884515782003122,0.17319749726944783
prosperity_through_cooperation,8-agent,13,0.6234607743404696,0.09125378217961862,0.6076923076923076,0.35169005876751397,0.015768466648161897,0.32752090653994137,0.10961893043052223,0.31265460790661287,0.008989536629905592,0.14769027747999322,0.04710207880723457,0.3773060607784076
prosperity_through_cooperation,2-agent,8,0.48762218963831866,0.16908665915682994,0.4965277777777778,0.38502545210080863,-0.0089055881394591,0.29065508824132436,-0.10448115001404058,0.3249027351970435,nan,nan,0.21212630506748154,0.2390675106798165
prosperity_through_cooperation,pooled,21,0.5717127420729835,0.13990015266523556,0.5653439153439154,0.35938435339155905,0.0063688267290681845,0.3067260216290316,0.02203253388501926,0.3281483733772006,0.008989536629905592,0.14769027747999322,0.09563861594260131,0.3437557318599646
trust_seeding,8-agent,20,0.3257231081346722,0.07206373035449141,0.33321283492879167,0.08793905046794812,-0.007489726794119476,0.09022218072369709,0.0004974600777201882,0.09403760593479607,0.013220270897874739,0.08169048555449389,-0.05324648489896261,0.22918483471475248
trust_seeding,2-agent,19,0.10479741019214703,0.08750441095427644,0.15301384395521536,0.12398041851049131,-0.04821643376306834,0.12869308696428966,-0.035149054861698545,0.18778425318858558,nan,nan,0.041537967038102516,0.14597878137014791
trust_seeding,pooled,39,0.2180926399062625,0.13688869513706958,0.24542358291602373,0.13954847706084605,-0.02733094300976123,0.11108751118326034,-0.014779617753459269,0.14064879156860843,0.013220270897874739,0.08169048555449389,-0.005854258930430045,0.1956393392672024
punitive_deterrence,8-agent,2,0,0.0,0.007525604028744412,0.0003200845498496227,-0.007525604028744412,0.0003200845498496227,-0.007525604028744412,0.0003200845498496227,-0.00725247004414547,0.00029729105788797435,-0.007469342251950948,0.000315320749692998
punitive_deterrence,2-agent,1,0.07142857142857142,0.0,0,0.0,0.07142857142857142,0.0,-0.037037037037037035,0.0,nan,nan,-0.039596273291925464,0.0054899594812620155
punitive_deterrence,pooled,3,0.023809523809523808,0.041239304942116126,0.005017069352496275,0.004350800584414811,0.018792454457027534,0.04558477634519077,-0.017362748364841953,0.017039937004788897,-0.00725247004414547,0.00029729105788797435,-0.023532807771938207,0.018818242747649275
repair_after_disruption,8-agent,15,0.012794612794612794,0.03705780169154613,0.02277931459216895,0.021120152961929334,-0.009984701797556157,0.023684592664509427,-0.004763888348480684,0.02690085478972837,-0.002752580239955548,0.04054767513829507,0.0078833666528953,0.04717931727554275
repair_after_disruption,2-agent,5,0,0.0,0.09341389911105054,0.10201713282298107,-0.09341389911105054,0.10201713282298107,-0.09749180736552325,0.09662327862228152,nan,nan,0.07899121495180608,0.1617848545416084
repair_after_disruption,pooled,20,0.009595959595959595,0.03231409360444081,0.04043796072188935,0.059198373289200266,-0.03084200112592975,0.06307265513494474,-0.034046389090704655,0.0709707026276612,-0.002752580239955548,0.04054767513829507,0.02779356417659032,0.09582319093047457
