exp,cond,file,round,agent,n_tokens,ttr,entropy_bits,mean_sentence_length
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,2,Agent_1,204,0.6176470588235294,6.470928843632039,14.571428571428571
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,3,Agent_1,208,0.6346153846153846,6.591816930563348,12.235294117647058
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,3,Agent_2,225,0.5955555555555555,6.504625510936396,11.842105263157896
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,4,Agent_2,221,0.6606334841628959,6.769686266046592,13.8125
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,4,Agent_1,232,0.6077586206896551,6.703260298622464,11.6
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,5,Agent_1,220,0.7181818181818181,6.92174948284585,11.0
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,5,Agent_2,223,0.6098654708520179,6.567068574007496,12.38888888888889
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,6,Agent_2,228,0.6359649122807017,6.7030479638579825,10.363636363636363
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,6,Agent_1,217,0.6359447004608295,6.73317097670222,12.764705882352942
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,7,Agent_1,213,0.6197183098591549,6.678263613845395,15.214285714285714
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,7,Agent_2,228,0.6578947368421053,6.760265273668468,12.666666666666666
