availability,condition,replicate_id,round,agent_id,author_type,coop_density,threat_density,half_rule,punishment_density
off,control,94,8,Agent_8,standard,2.1052631578947367,0.0,0.0,0.0
off,control,94,9,Agent_1,standard,3.0927835051546393,0.0,1.0,0.0
off,control,94,9,Agent_2,standard,1.0101010101010102,0.0,1.0,0.0
off,control,94,9,Agent_3,standard,2.030456852791878,0.0,0.0,0.0
off,control,94,9,Agent_4,standard,2.13903743315508,0.0,1.0,0.0
off,control,94,9,Agent_5,standard,3.1746031746031744,0.0,1.0,0.0
off,control,94,9,Agent_6,standard,4.145077720207254,0.5181347150259068,0.0,0.0
off,control,94,9,Agent_7,standard,1.5151515151515151,0.0,1.0,0.0
off,control,94,9,Agent_8,standard,2.5906735751295336,0.0,1.0,0.0
off,control,94,10,Agent_1,standard,1.5706806282722512,0.0,0.0,0.0
off,control,94,10,Agent_2,standard,1.015228426395939,0.0,0.0,0.0
off,control,94,10,Agent_3,standard,0.5102040816326531,0.0,1.0,0.0
off,control,94,10,Agent_4,standard,1.4563106796116505,0.48543689320388345,1.0,0.0
off,control,94,10,Agent_5,standard,2.6178010471204187,0.0,1.0,0.0
off,control,94,10,Agent_6,standard,1.0471204188481675,0.0,1.0,0.0
off,control,94,10,Agent_7,standard,1.0204081632653061,0.0,0.0,0.0
off,control,94,10,Agent_8,standard,2.9702970297029703,0.0,1.0,0.0
off,control,95,1,Agent_1,standard,3.664921465968586,0.0,1.0,0.0
off,control,95,1,Agent_2,standard,1.5789473684210527,0.5263157894736842,0.0,0.0
off,control,95,1,Agent_3,standard,3.314917127071823,0.0,1.0,0.0
off,control,95,1,Agent_4,standard,2.247191011235955,1.1235955056179776,0.0,0.0
off,control,95,1,Agent_5,standard,3.571428571428571,0.5102040816326531,0.0,0.0
off,control,95,1,Agent_6,standard,2.051282051282051,0.5128205128205128,0.0,0.0
off,control,95,1,Agent_7,standard,2.73224043715847,0.0,0.0,0.0
off,control,95,1,Agent_8,standard,5.2356020942408374,0.0,1.0,0.0
off,control,95,2,Agent_1,standard,3.225806451612903,0.0,1.0,0.0
off,control,95,2,Agent_2,standard,2.1164021164021163,0.0,0.0,0.0
off,control,95,2,Agent_3,standard,0.5434782608695652,0.5434782608695652,0.0,0.0
off,control,95,2,Agent_4,standard,1.5789473684210527,0.0,0.0,0.0
off,control,95,2,Agent_5,standard,2.1052631578947367,0.0,0.0,0.0
off,control,95,2,Agent_6,standard,2.0408163265306123,0.0,0.0,0.0
off,control,95,2,Agent_7,standard,3.35195530726257,0.5586592178770949,1.0,0.0
off,control,95,2,Agent_8,standard,1.5544041450777202,0.0,0.0,0.0
off,control,95,3,Agent_1,standard,1.5625,0.0,1.0,0.0
off,control,95,3,Agent_2,standard,3.1413612565445024,0.0,1.0,0.0
off,control,95,3,Agent_3,standard,3.910614525139665,0.0,1.0,0.0
off,control,95,3,Agent_4,standard,1.6042780748663104,0.0,0.0,0.0
off,control,95,3,Agent_5,standard,1.0638297872340425,0.0,1.0,0.0
off,control,95,3,Agent_6,standard,1.5228426395939088,0.5076142131979695,0.0,0.0
off,control,95,3,Agent_7,standard,2.6178010471204187,0.0,1.0,0.0
off,control,95,3,Agent_8,standard,3.015075376884422,0.0,1.0,0.0
off,control,95,4,Agent_1,standard,2.1052631578947367,0.0,1.0,0.0
off,control,95,4,Agent_2,standard,1.0101010101010102,0.0,0.0,0.0
off,control,95,4,Agent_3,standard,2.717391304347826,0.0,1.0,0.0
off,control,95,4,Agent_4,standard,1.0810810810810811,0.0,0.0,0.0
off,control,95,4,Agent_5,standard,2.564102564102564,0.0,1.0,0.0
off,control,95,4,Agent_6,standard,1.0416666666666665,0.5208333333333333,1.0,0.0
off,control,95,4,Agent_7,standard,2.2346368715083798,0.0,1.0,0.0
off,control,95,4,Agent_8,standard,3.076923076923077,0.0,1.0,0.0
off,control,95,5,Agent_1,standard,1.5228426395939088,0.0,0.0,0.0
off,control,95,5,Agent_2,standard,1.0204081632653061,0.5102040816326531,1.0,0.0
off,control,95,5,Agent_3,standard,2.604166666666667,0.0,1.0,0.0
off,control,95,5,Agent_4,standard,2.083333333333333,0.0,1.0,0.0
off,control,95,5,Agent_5,standard,1.0752688172043012,0.0,0.0,0.0
off,control,95,5,Agent_6,standard,2.094240837696335,0.5235602094240838,1.0,0.0
off,control,95,5,Agent_7,standard,1.5957446808510638,1.0638297872340425,0.0,0.0
off,control,95,5,Agent_8,standard,3.1088082901554404,0.0,1.0,0.0
off,control,95,6,Agent_1,standard,3.1413612565445024,0.5235602094240838,1.0,0.0
off,control,95,6,Agent_2,standard,2.1052631578947367,0.0,1.0,0.0
off,control,95,6,Agent_3,standard,2.197802197802198,0.5494505494505495,1.0,0.0
off,control,95,6,Agent_4,standard,0.5128205128205128,0.5128205128205128,1.0,0.0
off,control,95,6,Agent_5,standard,1.6216216216216217,0.0,1.0,0.0
off,control,95,6,Agent_6,standard,3.076923076923077,0.0,1.0,0.0
off,control,95,6,Agent_7,standard,4.6875,0.0,1.0,0.0
off,control,95,6,Agent_8,standard,2.127659574468085,0.5319148936170213,1.0,0.0
off,control,95,7,Agent_1,standard,3.1413612565445024,0.0,1.0,0.0
off,control,95,7,Agent_2,standard,2.0202020202020203,0.0,1.0,0.0
off,control,95,7,Agent_3,standard,2.9702970297029703,0.49504950495049505,1.0,0.0
off,control,95,7,Agent_4,standard,0.5235602094240838,0.0,0.0,0.0
off,control,95,7,Agent_5,standard,2.083333333333333,0.0,0.0,0.0
off,control,95,7,Agent_6,standard,2.051282051282051,0.0,1.0,0.0
off,control,95,7,Agent_7,standard,2.564102564102564,0.0,1.0,0.0
off,control,95,7,Agent_8,standard,3.278688524590164,0.0,1.0,0.0
off,control,95,8,Agent_1,standard,2.564102564102564,0.0,1.0,0.0
off,control,95,8,Agent_2,standard,1.5463917525773196,0.0,1.0,0.0
off,control,95,8,Agent_3,standard,1.6129032258064515,0.0,1.0,0.0
off,control,95,8,Agent_4,standard,2.051282051282051,0.0,1.0,0.0
off,control,95,8,Agent_5,standard,3.7037037037037033,0.0,1.0,0.0
off,control,95,8,Agent_6,standard,2.072538860103627,0.0,1.0,0.0
off,control,95,8,Agent_7,standard,2.5773195876288657,0.0,1.0,0.0
off,control,95,8,Agent_8,standard,3.1578947368421053,0.0,1.0,0.0
off,control,95,9,Agent_1,standard,2.1052631578947367,0.0,1.0,0.0
off,control,95,9,Agent_2,standard,1.0256410256410255,0.0,0.0,0.0
off,control,95,9,Agent_3,standard,3.0456852791878175,0.0,1.0,0.0
off,control,95,9,Agent_4,standard,1.0471204188481675,0.0,1.0,0.0
off,control,95,9,Agent_5,standard,2.072538860103627,0.0,1.0,0.0
off,control,95,9,Agent_6,standard,2.512562814070352,0.0,1.0,0.0
off,control,95,9,Agent_7,standard,2.5773195876288657,0.5154639175257731,0.0,0.0
off,control,95,9,Agent_8,standard,2.564102564102564,0.0,1.0,0.0
off,control,95,10,Agent_1,standard,3.0456852791878175,0.0,1.0,0.0
off,control,95,10,Agent_2,standard,1.0101010101010102,0.0,1.0,0.0
off,control,95,10,Agent_3,standard,2.450980392156863,0.0,1.0,0.0
off,control,95,10,Agent_4,standard,3.0927835051546393,0.0,1.0,0.0
off,control,95,10,Agent_5,standard,3.1914893617021276,0.0,1.0,0.0
off,control,95,10,Agent_6,standard,2.5510204081632653,0.0,1.0,0.0
off,control,95,10,Agent_7,standard,1.5706806282722512,0.5235602094240838,1.0,0.5291005291005291
off,control,95,10,Agent_8,standard,2.072538860103627,0.0,0.0,0.0
off,defectors25,93,1,Agent_1,standard,3.825136612021858,0.546448087431694,0.0,0.0
off,defectors25,93,1,Agent_2,standard,3.1413612565445024,0.5235602094240838,0.0,0.0
off,defectors25,93,1,Agent_3,standard,3.1413612565445024,0.0,0.0,0.0
off,defectors25,93,1,Agent_4,standard,1.1494252873563218,0.5747126436781609,0.0,0.0
off,defectors25,93,1,Agent_5,defector,2.604166666666667,0.0,0.0,0.0
off,defectors25,93,1,Agent_6,standard,3.723404255319149,0.0,0.0,0.0
off,defectors25,93,1,Agent_7,standard,1.5625,0.5208333333333333,0.0,0.0
