group,stem,round,investor,trustee,pair_sim_t,pair_sim_tm1,sent_frac,ret_frac
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,10,Agent_5,Agent_8,0.5755096673965454,0.5233938097953796,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,10,Agent_4,Agent_7,0.7503042221069336,0.731682538986206,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,10,Agent_1,Agent_3,0.726465106010437,0.66960608959198,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,10,Agent_2,Agent_6,0.8489250540733337,0.7200407981872559,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_6,Agent_1,0.7207301259040833,nan,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_3,Agent_5,0.6780799627304077,nan,0.6,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_8,Agent_7,0.8503150343894958,nan,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_2,Agent_4,0.7910761833190918,nan,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_5,Agent_2,0.652633547782898,0.7002838850021362,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_1,Agent_8,0.6656886339187622,0.7593477964401245,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_7,Agent_3,0.8856452703475952,0.8097251653671265,1.0,0.6
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_4,Agent_6,0.7803622484207153,0.849746823310852,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,3,Agent_6,Agent_8,0.7171199917793274,0.6988903284072876,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,3,Agent_7,Agent_2,0.6170164346694946,0.46988484263420105,1.0,0.6
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,3,Agent_5,Agent_1,0.44900330901145935,0.6731870174407959,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,3,Agent_3,Agent_4,0.6606103777885437,0.5977209210395813,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,4,Agent_8,Agent_3,0.7478320598602295,0.7155605554580688,1.0,0.6
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,4,Agent_4,Agent_5,0.6565322279930115,0.6079086065292358,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,4,Agent_1,Agent_7,0.4791524410247803,0.47331228852272034,1.0,0.6
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,4,Agent_2,Agent_6,0.6150901913642883,0.6510099768638611,1.0,0.5
