Prompt Condition,condition,mean_balance_r10,replicate,path,source
Game Only,Noise (Informed),36.75,3,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_003_neutral_rep03.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Game Only,Noise (Informed),48.599999999999994,4,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_004_neutral_rep04.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Game Only,Noise (Informed),39.75,5,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_005_neutral_rep05.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Game Only,Noise (Informed),36.25,6,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_006_neutral_rep06.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Game Only,Noise (Informed),41.0,7,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_007_neutral_rep07.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Game Only,Noise (Informed),39.0,8,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_008_neutral_rep08.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Game Only,Noise (Informed),38.099999999999994,9,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_009_neutral_rep09.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),42.14999999999999,0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_010_neutral_rep00_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),43.55,1,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_011_neutral_rep01_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),41.5,2,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_012_neutral_rep02_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),40.9,3,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_013_neutral_rep03_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),43.45,4,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_014_neutral_rep04_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),34.0,5,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_015_neutral_rep05_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),36.2,6,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_016_neutral_rep06_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),39.0,7,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_017_neutral_rep07_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),42.5,8,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_018_neutral_rep08_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth Control,Noise (Informed),46.25,9,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_019_neutral_rep09_myth_control_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
