availability,condition,replicate_id,round,standard_send_ratio,standard_return_ratio
on,control,80,2,1.0,0.5083333333333333
on,control,80,3,1.0,0.5166666666666666
on,control,80,4,1.0,0.4863333333333333
on,control,80,5,1.0,0.5005833333333333
on,control,80,6,1.0,0.5111666666666667
on,control,80,7,1.0,0.472
on,control,80,8,1.0,0.4988333333333333
on,control,80,9,1.0,0.49716666666666665
on,control,80,10,1.0,0.5166666666666666
on,control,81,1,1.0,0.503
on,control,81,2,1.0,0.54
on,control,81,3,1.0,0.4943333333333333
on,control,81,4,1.0,0.5043333333333333
on,control,81,5,1.0,0.5171666666666667
on,control,81,6,1.0,0.48
on,control,81,7,1.0,0.5388333333333333
on,control,81,8,1.0,0.492
on,control,81,9,1.0,0.5085000000000001
on,control,81,10,1.0,0.5135
on,control,82,1,1.0,0.45666666666666667
on,control,82,2,1.0,0.5299999999999999
on,control,82,3,1.0,0.45799999999999996
on,control,82,4,1.0,0.5166666666666666
on,control,82,5,1.0,0.4741666666666666
on,control,82,6,1.0,0.4916666666666667
on,control,82,7,1.0,0.48616666666666664
on,control,82,8,1.0,0.4916666666666667
on,control,82,9,1.0,0.45566666666666666
on,control,82,10,1.0,0.4771666666666667
on,control,83,1,1.0,0.48816666666666664
on,control,83,2,1.0,0.5690000000000001
on,control,83,3,1.0,0.5245
on,control,83,4,1.0,0.5028333333333332
on,control,83,5,1.0,0.5128333333333334
on,control,83,6,1.0,0.5166666666666666
on,control,83,7,1.0,0.48516666666666663
on,control,83,8,1.0,0.512
on,control,83,9,1.0,0.5148333333333333
on,control,83,10,1.0,0.44566666666666666
on,control,84,1,1.0,0.5333333333333333
on,control,84,2,1.0,0.6
on,control,84,3,1.0,0.5519999999999999
on,control,84,4,1.0,0.6166666666666666
on,control,84,5,1.0,0.597
on,control,84,6,1.0,0.5246666666666666
on,control,84,7,1.0,0.602
on,control,84,8,1.0,0.5341666666666667
on,control,84,9,1.0,0.5476666666666666
on,control,84,10,1.0,0.5336666666666666
on,control,85,1,1.0,0.525
on,control,85,2,1.0,0.5413333333333333
on,control,85,3,1.0,0.5325
on,control,85,4,1.0,0.516
on,control,85,5,1.0,0.5138333333333334
on,control,85,6,1.0,0.5553333333333332
on,control,85,7,1.0,0.5493333333333333
on,control,85,8,1.0,0.5703333333333334
on,control,85,9,1.0,0.5206666666666666
on,control,85,10,1.0,0.6216666666666666
on,control,86,1,1.0,0.45449999999999996
on,control,86,2,1.0,0.5295
on,control,86,3,1.0,0.523
on,control,86,4,1.0,0.5083333333333333
on,control,86,5,1.0,0.48483333333333334
on,control,86,6,1.0,0.48283333333333334
on,control,86,7,1.0,0.4905
on,control,86,8,1.0,0.5516666666666666
on,control,86,9,1.0,0.5293333333333333
on,control,86,10,1.0,0.5811666666666666
on,control,87,1,1.0,0.5158333333333333
on,control,87,2,1.0,0.5238333333333334
on,control,87,3,1.0,0.5306666666666666
on,control,87,4,1.0,0.48550000000000004
on,control,87,5,1.0,0.5188333333333334
on,control,87,6,1.0,0.5499999999999999
on,control,87,7,1.0,0.5416666666666666
on,control,87,8,1.0,0.49583333333333335
on,control,87,9,1.0,0.5333333333333333
on,control,87,10,1.0,0.4986666666666666
on,control,88,1,1.0,0.49616666666666664
on,control,88,2,1.0,0.5583333333333333
on,control,88,3,1.0,0.5446666666666666
on,control,88,4,1.0,0.5306666666666666
on,control,88,5,1.0,0.49250000000000005
on,control,88,6,1.0,0.5306666666666666
on,control,88,7,1.0,0.5269999999999999
on,control,88,8,1.0,0.5634999999999999
on,control,88,9,1.0,0.5515
on,control,88,10,1.0,0.5196666666666667
on,control,89,1,1.0,0.5166666666666666
on,control,89,2,1.0,0.4776666666666667
on,control,89,3,1.0,0.4833333333333334
on,control,89,4,1.0,0.47500000000000003
on,control,89,5,1.0,0.4916666666666667
on,control,89,6,1.0,0.5351666666666667
on,control,89,7,1.0,0.5033333333333333
on,control,89,8,1.0,0.4993333333333333
on,control,89,9,1.0,0.5308333333333333
on,control,89,10,1.0,0.5
on,defectors25,80,1,1.0,0.474
on,defectors25,80,2,1.0,0.472
on,defectors25,80,3,1.0,0.5
on,defectors25,80,4,1.0,0.5
on,defectors25,80,5,1.0,0.5
on,defectors25,80,6,1.0,0.494
on,defectors25,80,7,1.0,0.499
on,defectors25,80,8,1.0,0.5486666666666666
on,defectors25,80,9,0.6666666666666666,0.48133333333333334
on,defectors25,80,10,1.0,0.3333333333333333
on,defectors25,81,1,1.0,0.494
on,defectors25,81,2,1.0,0.4966666666666667
on,defectors25,81,3,0.5,0.414
on,defectors25,81,4,1.0,0.5
on,defectors25,81,5,1.0,0.5
on,defectors25,81,6,1.0,0.4693333333333333
on,defectors25,81,7,1.0,0.5166666666666666
on,defectors25,81,8,1.0,0.46288888888888885
on,defectors25,81,9,1.0,0.487
on,defectors25,81,10,1.0,0.4923333333333333
on,defectors25,82,1,1.0,0.5333333333333333
on,defectors25,82,2,1.0,0.55
on,defectors25,82,3,1.0,0.5
on,defectors25,82,4,1.0,0.46399999999999997
on,defectors25,82,5,0.75,0.5333333333333333
on,defectors25,82,6,1.0,0.4623333333333334
on,defectors25,82,7,1.0,0.4815555555555555
on,defectors25,82,8,1.0,0.46699999999999997
on,defectors25,82,9,1.0,0.4677777777777778
on,defectors25,82,10,1.0,0.5333333333333333
on,defectors25,83,1,1.0,0.476
