condition,run,round,agent,model,myth_prompt_arm_id,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences,network_community_count,network_community_per_1k,stranger_portability_count,stranger_portability_per_1k,abstract_norm_pattern_count,abstract_norm_pattern_per_1k,reputation_history_count,reputation_history_per_1k,explicit_game_rules_count,explicit_game_rules_per_1k,named_agent_markers_count,named_agent_markers_per_1k
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,1,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,198,123,0.6212121212121212,6.2765244960417865,15.23076923076923,13,2,10.1010101010101,0,0.0,4,20.2020202020202,0,0.0,6,30.303030303030305,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,2,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,212,136,0.6415094339622641,6.665427238298004,16.23076923076923,13,5,23.58490566037736,0,0.0,8,37.735849056603776,1,4.716981132075472,6,28.30188679245283,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,2,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,204,126,0.6176470588235294,6.470928843632039,14.5,14,4,19.607843137254903,0,0.0,7,34.31372549019608,0,0.0,20,98.03921568627452,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,3,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,208,132,0.6346153846153846,6.591816930563348,12.176470588235293,17,1,4.8076923076923075,1,4.8076923076923075,16,76.92307692307692,1,4.8076923076923075,25,120.1923076923077,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,3,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,225,134,0.5955555555555555,6.504625510936396,11.789473684210526,19,3,13.333333333333334,1,4.444444444444445,10,44.44444444444444,2,8.88888888888889,4,17.77777777777778,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,4,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,221,146,0.6606334841628959,6.769686266046592,13.75,16,1,4.524886877828054,0,0.0,8,36.199095022624434,2,9.049773755656108,7,31.67420814479638,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,4,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,232,141,0.6077586206896551,6.703260298622464,11.55,20,1,4.310344827586207,1,4.310344827586207,8,34.48275862068966,1,4.310344827586207,19,81.89655172413794,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,5,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,220,158,0.7181818181818181,6.92174948284585,10.95,20,1,4.545454545454546,1,4.545454545454546,9,40.90909090909091,0,0.0,8,36.36363636363637,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,5,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,223,136,0.6098654708520179,6.567068574007496,12.333333333333334,18,0,0.0,0,0.0,4,17.937219730941703,3,13.452914798206278,6,26.905829596412556,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,6,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,228,145,0.6359649122807017,6.7030479638579825,10.318181818181818,22,1,4.385964912280702,1,4.385964912280702,4,17.54385964912281,1,4.385964912280702,11,48.24561403508772,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,6,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,217,138,0.6359447004608295,6.73317097670222,12.705882352941176,17,0,0.0,1,4.608294930875576,6,27.649769585253456,0,0.0,6,27.649769585253456,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,7,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,213,132,0.6197183098591549,6.678263613845395,15.142857142857142,14,0,0.0,0,0.0,9,42.25352112676056,3,14.084507042253522,8,37.55868544600939,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,7,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,228,150,0.6578947368421053,6.760265273668468,12.61111111111111,18,1,4.385964912280702,1,4.385964912280702,5,21.92982456140351,1,4.385964912280702,5,21.92982456140351,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,8,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,219,150,0.684931506849315,6.876406925959912,14.533333333333333,15,0,0.0,1,4.566210045662101,5,22.831050228310502,2,9.132420091324201,2,9.132420091324201,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,8,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,222,157,0.7072072072072072,7.000898619574669,12.277777777777779,18,0,0.0,0,0.0,6,27.027027027027028,1,4.504504504504505,7,31.53153153153153,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,9,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,213,138,0.647887323943662,6.7329654187956445,11.157894736842104,19,8,37.55868544600939,0,0.0,5,23.474178403755868,1,4.694835680751174,14,65.72769953051643,0,0.0
